location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate,peak_date,peak_7day_cases,peak_cases_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
Nicaragua,16050.0,245.0,6948395.0,2309.885952079581,35.25994132457927,1.5264797507788161,2020-06-03,95.85714285714286,13.795580541570084,,,
Niger,9515.0,315.0,26207982.0,363.05733115964443,12.019239024202626,3.310562270099842,2022-01-14,102.28571428571429,3.902845869083483,,,
Nigeria,267146.0,3155.0,218541216.0,1222.4055713133764,14.436636062279437,1.1810021486378235,2021-12-27,1953.4285714285713,8.938490446710844,4.47,2.0,6.47
Niue,887.0,0.0,1952.0,454405.737704918,0.0,0.0,2023-01-02,34.285714285714285,17564.402810304447,,,
North Macedonia,349104.0,9946.0,2093606.0,166747.7070661815,4750.655089830655,2.8490077455428757,2022-01-30,1697.2857142857142,810.6996800189311,,39.57,86.2
Northern Mariana Islands,14299.0,41.0,49574.0,288437.48739258485,827.0464356315811,0.28673333799566403,2022-02-11,216.0,4357.122685278573,,,
Norway,1489459.0,5732.0,5434324.0,274083.58426917496,1054.7770063028997,0.38483771624462304,2022-02-12,20508.428571428572,3773.869311330825,79.66,73.89,206.15
Oman,399449.0,4628.0,4576300.0,87286.4541223259,1011.2973362760308,1.1585959659430867,2022-02-07,2246.714285714286,490.94558610980175,69.8,65.11,146.25
Pakistan,1580631.0,30656.0,235824864.0,6702.562966388481,129.99477442717827,1.9394786006348097,2022-01-31,7198.0,30.522650910974342,,,
Palau,6243.0,9.0,18084.0,345222.295952223,497.6775049767751,0.14416146083613646,2022-02-01,156.14285714285714,8634.30972920024,,,
Palestine,703228.0,5708.0,5250076.0,133946.25144474098,1087.222356400174,0.8116855415313383,2022-02-05,8668.857142857143,1651.1869814564861,,,
Panama,1047587.0,8654.0,4408582.0,237624.47880066652,1962.9894601030442,0.8260889071742968,2022-01-22,10697.857142857143,2426.598199343268,,,
Papua New Guinea,46864.0,670.0,10142625.0,4620.500117080144,66.05784991557906,1.4296688289518606,2021-10-26,447.2857142857143,44.0996008711467,,,
Paraguay,735897.0,19978.0,6780745.0,108527.45531648808,2946.283926028777,2.714782095863959,2022-02-02,5896.285714285715,869.5631105852992,,,
Peru,4520727.0,221704.0,34049588.0,132768.91925975727,6511.209474840048,4.90416696252616,2022-01-27,50361.71428571428,1479.0697110847357,75.18,68.61,166.74
Philippines,4173631.0,66702.0,115559008.0,36116.88151563225,577.2116008472486,1.5981767434639047,2022-01-18,34897.0,301.98424687065506,,48.48,104.4
Pitcairn,4.0,0.0,47.0,85106.3829787234,0.0,0.0,2022-07-20,0.5714285714285714,12158.0547112462,,,
Poland,6525385.0,119655.0,39857144.0,163719.33222310158,3002.096688111923,1.8336849090130316,2022-02-02,49073.142857142855,1231.225771147648,56.07,54.68,130.18
Portugal,5621015.0,27424.0,10270857.0,547278.0898419674,2670.0790401424147,0.4878834160734316,2022-01-30,57900.857142857145,5637.392979267178,,,
Puerto Rico,1252713.0,5938.0,3252412.0,385164.30267752055,1825.7219565048954,0.47401120607832764,2022-01-04,10583.42857142857,3254.024573586794,,,
Qatar,514524.0,690.0,2695131.0,190908.71649652653,256.01723997831647,0.1341045315670406,2022-01-18,4101.571428571428,1521.8449227779386,,,203.3
Reunion,494595.0,921.0,974062.0,507765.419449686,945.5250281809576,0.18621296212052285,2022-01-25,11187.857142857143,11485.775179462029,,,
Romania,3478091.0,68409.0,19659270.0,176918.6241401639,3479.732462090403,1.9668548062716014,2022-02-05,30033.428571428572,1527.6980565111814,,40.69,83.98
