date,new_cases,new_deaths,new_cases_7day_avg,new_deaths_7day_avg
2021-07-22,477230.0,8267.0,520113.28571428574,9746.285714285714
2021-07-23,504667.0,8598.0,518072.4285714286,9765.714285714286
2021-07-24,514443.0,8819.0,518221.71428571426,9850.142857142857
2021-07-25,971939.0,9311.0,536729.2857142857,9947.57142857143
2021-07-26,454513.0,8600.0,540844.0,10101.285714285714
2021-07-27,440893.0,8705.0,545202.1428571428,10317.57142857143
2021-07-28,533141.0,8578.0,556689.4285714285,8696.857142857143
2021-07-29,589951.0,10110.0,572792.4285714285,8960.142857142857
2021-07-30,596050.0,9692.0,585847.1428571428,9116.42857142857
2021-07-31,579958.0,9418.0,595206.4285714285,9202.0
2021-08-01,949544.0,9990.0,592007.1428571428,9299.0
2021-08-02,499520.0,8985.0,598436.7142857143,9354.0
2021-08-03,485207.0,9069.0,604767.2857142857,9406.0
2021-08-04,571064.0,9226.0,610184.8571428572,9498.57142857143
2021-08-05,612522.0,10038.0,613409.2857142857,9488.285714285714
2021-08-06,668937.0,10470.0,623821.7142857143,9599.42857142857
2021-08-07,625286.0,10035.0,630297.1428571428,9687.57142857143
2021-08-08,959374.0,11089.0,631701.4285714285,9844.57142857143
2021-08-09,552159.0,9817.0,639221.2857142857,9963.42857142857
2021-08-10,506965.0,8925.0,642329.5714285715,9942.857142857143
2021-08-11,563949.0,9109.0,641313.1428571428,9926.142857142857
2021-08-12,631968.0,10290.0,644091.1428571428,9962.142857142857
2021-08-13,654238.0,10067.0,641991.2857142857,9904.57142857143
2021-08-14,654326.0,9953.0,646139.8571428572,9892.857142857143
2021-08-15,956339.0,11536.0,645706.2857142857,9956.714285714286
2021-08-16,549309.0,9897.0,645299.1428571428,9968.142857142857
2021-08-17,519488.0,8477.0,647088.1428571428,9904.142857142857
2021-08-18,580942.0,9085.0,649515.7142857143,9900.714285714286
2021-08-19,679796.0,10744.0,656348.2857142857,9965.57142857143
2021-08-20,670827.0,10777.0,658718.1428571428,10067.0
2021-08-21,651735.0,9865.0,658348.0,10054.42857142857
2021-08-22,946986.0,12585.0,657011.8571428572,10204.285714285714
2021-08-23,532180.0,9822.0,654564.8571428572,10193.57142857143
2021-08-24,521323.0,8482.0,654827.0,10194.285714285714
2021-08-25,588224.0,9707.0,655867.2857142857,10283.142857142857
2021-08-26,660488.0,10689.0,653109.0,10275.285714285714
2021-08-27,660420.0,9972.0,651622.2857142857,10160.285714285714
2021-08-28,664645.0,9986.0,653466.5714285715,10177.57142857143
2021-08-29,941572.0,12183.0,652693.1428571428,10120.142857142857
2021-08-30,539337.0,8910.0,653715.5714285715,9989.857142857143
2021-08-31,488649.0,8791.0,649047.8571428572,10034.0
2021-09-01,552003.0,9163.0,643873.4285714285,9956.285714285714
2021-09-02,635095.0,9723.0,640245.8571428572,9818.285714285714
2021-09-03,647491.0,9882.0,638398.8571428572,9805.42857142857
2021-09-04,622102.0,9620.0,632321.2857142857,9753.142857142857
2021-09-05,875212.0,11784.0,622841.2857142857,9696.142857142857
2021-09-06,503495.0,9064.0,617721.0,9718.142857142857
2021-09-07,476546.0,8088.0,615992.0,9617.714285714286
2021-09-08,512623.0,8335.0,610366.2857142857,9499.42857142857
2021-09-09,517429.0,8294.0,593556.8571428572,9295.285714285714
2021-09-10,552829.0,8310.0,580033.7142857143,9070.714285714286
2021-09-11,583734.0,9259.0,574552.5714285715,9019.142857142857
2021-09-12,784146.0,11258.0,561543.1428571428,8944.0
2021-09-13,464679.0,8807.0,555998.0,8907.285714285714
2021-09-14,440335.0,7131.0,550825.0,8770.57142857143
2021-09-15,476259.0,7463.0,545630.1428571428,8646.0
2021-09-16,527349.0,9111.0,547047.2857142857,8762.714285714286
2021-09-17,516496.0,9252.0,541856.8571428572,8897.285714285714
2021-09-18,535268.0,8175.0,534933.1428571428,8742.42857142857
2021-09-19,725389.0,10941.0,526539.2857142857,8697.142857142857
2021-09-20,558736.0,7696.0,539976.0,8538.42857142857
2021-09-21,401593.0,6258.0,534441.4285714285,8413.714285714286
2021-09-22,431403.0,7225.0,528033.4285714285,8379.714285714286
2021-09-23,471145.0,8472.0,520004.28571428574,8288.42857142857
2021-09-24,495734.0,7755.0,517038.28571428574,8074.571428571428
2021-09-25,477131.0,7646.0,508733.0,7999.0
2021-09-26,672707.0,10369.0,501207.0,7917.285714285715
2021-09-27,379663.0,6373.0,475625.14285714284,7728.285714285715
2021-09-28,344829.0,6258.0,467516.0,7728.285714285715
2021-09-29,417394.0,7163.0,465514.71428571426,7719.428571428572
2021-09-30,441155.0,7905.0,461230.4285714286,7638.428571428572
2021-10-01,440602.0,7593.0,453354.4285714286,7615.285714285715
2021-10-02,439503.0,7035.0,447979.0,7528.0
2021-10-03,647677.0,10073.0,444403.28571428574,7485.714285714285
2021-10-04,336507.0,5675.0,438238.14285714284,7386.0
2021-10-05,323435.0,5017.0,435181.85714285716,7208.714285714285
2021-10-06,390159.0,5887.0,431291.14285714284,7026.428571428572
2021-10-07,417243.0,7329.0,427875.14285714284,6944.142857142857
2021-10-08,424290.0,7173.0,425544.85714285716,6884.142857142857
