location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
United States,2021-01-02,1.79,0.02,1.84
United States,2021-01-03,1.83,0.02,1.89
United States,2021-01-04,2.02,0.03,2.09
United States,2021-01-05,2.24,0.06,2.34
United States,2021-01-06,2.49,0.11,2.65
United States,2021-01-07,2.75,0.2,3.01
United States,2021-01-08,3.01,0.31,3.38
United States,2021-01-09,3.12,0.35,3.54
United States,2021-01-10,3.17,0.37,3.61
United States,2021-01-11,3.39,0.47,3.94
United States,2021-01-12,3.67,0.56,4.32
United States,2021-01-13,3.98,0.64,4.72
United States,2021-01-14,4.33,0.69,5.12
United States,2021-01-15,4.67,0.72,5.5
United States,2021-01-16,4.84,0.75,5.7
United States,2021-01-17,4.92,0.76,5.79
United States,2021-01-18,5.11,0.83,6.06
United States,2021-01-19,5.41,0.94,6.46
United States,2021-01-20,5.76,1.06,6.95
United States,2021-01-21,6.16,1.15,7.45
United States,2021-01-22,6.58,1.21,7.94
United States,2021-01-23,6.81,1.26,8.22
United States,2021-01-24,6.9,1.29,8.34
United States,2021-01-25,7.16,1.43,8.76
United States,2021-01-26,7.48,1.61,9.26
United States,2021-01-27,7.85,1.81,9.84
United States,2021-01-28,8.27,1.98,10.44
United States,2021-01-29,8.68,2.13,11.02
United States,2021-01-30,8.91,2.2,11.33
United States,2021-01-31,9.01,2.24,11.47
United States,2021-02-01,9.24,2.42,11.89
United States,2021-02-02,9.54,2.63,12.41
United States,2021-02-03,9.92,2.88,13.06
United States,2021-02-04,10.33,3.16,13.77
United States,2021-02-05,10.74,3.45,14.48
United States,2021-02-06,11.0,3.58,14.87
United States,2021-02-07,11.08,3.63,15.01
United States,2021-02-08,11.34,3.84,15.49
United States,2021-02-09,11.65,4.11,16.08
United States,2021-02-10,12.02,4.43,16.78
United States,2021-02-11,12.4,4.76,17.51
United States,2021-02-12,12.82,5.11,18.3
United States,2021-02-13,13.08,5.28,18.74
United States,2021-02-14,13.19,5.35,18.92
United States,2021-02-15,13.37,5.52,19.28
United States,2021-02-16,13.61,5.76,19.77
United States,2021-02-17,13.9,6.06,20.36
United States,2021-02-18,14.15,6.35,20.93
United States,2021-02-19,14.39,6.69,21.52
United States,2021-02-20,14.57,6.89,21.91
United States,2021-02-21,14.65,6.99,22.1
United States,2021-02-22,14.84,7.23,22.54
United States,2021-02-23,15.1,7.55,23.12
United States,2021-02-24,15.47,7.92,23.89
United States,2021-02-25,15.93,8.33,24.78
United States,2021-02-26,16.44,8.75,25.72
United States,2021-02-27,16.78,8.99,26.32
United States,2021-02-28,16.94,9.09,26.58
United States,2021-03-01,17.31,9.33,27.21
United States,2021-03-02,17.75,9.62,27.95
United States,2021-03-03,18.27,9.96,28.83
United States,2021-03-04,18.86,10.34,29.8
