location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate
Saint Pierre and Miquelon,3426.0,2.0,5885.0,582158.0288870009,339.8470688190314,0.05837711617046118
Saint Vincent and the Grenadines,9644.0,124.0,103959.0,92767.3409709597,1192.7779220654295,1.2857735379510575
Samoa,16778.0,31.0,222390.0,75444.03974998876,139.39475695849634,0.18476576469185838
San Marino,24697.0,126.0,33690.0,733066.1917482932,3739.9821905609974,0.5101834230878244
Sao Tome and Principe,6599.0,80.0,227393.0,29020.242487675525,351.81382012638915,1.2123048946810122
Saudi Arabia,841469.0,9646.0,36408824.0,23111.677542784684,264.9357749099504,1.1463286229201552
Senegal,89022.0,1971.0,17316452.0,5140.891448201975,113.82239271647563,2.2140594459796454
Serbia,2560024.0,18057.0,6871547.0,372554.2443353731,2627.7925480244844,0.7053449498910948
Seychelles,50937.0,172.0,107135.0,475446.8661035143,1605.4510664115369,0.3376720262284783
Sierra Leone,7766.0,126.0,8605723.0,902.4227249703482,14.641419436809667,1.6224568632500644
Singapore,2626395.0,1872.0,5637022.0,465918.88412001944,332.09024197528413,0.07127640739492727
Sint Maarten (Dutch part),11051.0,92.0,44192.0,250067.8855901521,2081.8247646632876,0.8325038458058095
Slovakia,1867647.0,21167.0,5643455.0,330940.3548003838,3750.716538007302,1.1333512167984636
Slovenia,1345384.0,9448.0,2119843.0,634662.0952589413,4456.933838968263,0.7022530370511318
Solomon Islands,21611.0,153.0,724272.0,29838.23756820642,211.24660348598317,0.7079727916338902
Somalia,27334.0,1361.0,17597508.0,1553.2881132942232,77.3404961657071,4.979146850076828
South Africa,4072533.0,102595.0,59893884.0,67995.807384941,1712.946183286427,2.5191938285091857
South Korea,34571873.0,35934.0,51815808.0,667207.0615978815,693.4949272623521,0.10393998612687255
South Sudan,18368.0,138.0,10913172.0,1683.1036842450574,12.645269404715696,0.7513066202090593
Spain,13980340.0,121852.0,47558632.0,293960.0954039217,2562.142662135446,0.8715953975368267
Sri Lanka,672593.0,16882.0,21832150.0,30807.455976621633,773.2632837352254,2.5099874664172837
Sudan,63993.0,5046.0,46874200.0,1365.2072995379121,107.64983722388862,7.885237447845858
Suriname,82588.0,1408.0,618046.0,133627.59406257787,2278.1475812479976,1.7048481619605753
Sweden,2718433.0,24902.0,10549349.0,257687.27530011564,2360.52480584347,0.9160424406266404
Switzerland,4415674.0,14065.0,8740471.0,505198.63288831915,1609.1810155310852,0.31852442005456016
Syria,57423.0,3163.0,22125242.0,2595.3614428262526,142.95888831408035,5.508245824843703
Tajikistan,17786.0,125.0,9952789.0,1787.036779338937,12.559293681399254,0.7027999550208028
Tanzania,43078.0,846.0,65497752.0,657.7019620459646,12.916473835621106,1.9638794744417105
Thailand,4757728.0,34482.0,71697024.0,66358.79335800603,480.9404641397668,0.724757699473362
Timor,23460.0,138.0,1341298.0,17490.520376530792,102.8854139795929,0.5882352941176471
Togo,39524.0,290.0,8848700.0,4466.644817882853,32.77317572072734,0.7337314037040785
Tokelau,80.0,0.0,1893.0,42260.96143687269,0.0,0.0
Tonga,16839.0,12.0,106867.0,157569.68942704482,112.28910702087643,0.07126313914127917
Trinidad and Tobago,191496.0,4390.0,1531043.0,125075.52041320852,2867.3263912248053,2.2924760830513433
Tunisia,1153361.0,29423.0,12356116.0,93343.32892310173,2381.2499008588134,2.551065971538833
Turkey,17004677.0,101419.0,85341248.0,199255.07768529467,1188.3936827359262,0.59641826775069
Turks and Caicos Islands,6630.0,39.0,45726.0,144994.09526308885,852.9064427240519,0.5882352941176471
Tuvalu,2943.0,1.0,11335.0,259638.28848698724,88.2223202470225,0.03397893306150187
Uganda,171871.0,3632.0,47249588.0,3637.5131990568893,76.8683951275935,2.113212816589186
Ukraine,5520483.0,109918.0,39701744.0,139048.8790618367,2768.5937423806877,1.9910938952261967
United Arab Emirates,1067030.0,2349.0,9441138.0,113019.2144209734,248.80475213899,0.2201437635305474
United Kingdom,24779150.0,230383.0,67508936.0,367049.92654602055,3412.6296998666962,0.9297453706039149
United States,103436829.0,1136920.0,338289856.0,305763.9097519968,3360.7865557754117,1.099144290279819
United States Virgin Islands,25389.0,132.0,99479.0,255219.69460891242,1326.913217865077,0.5199101973295521
Uruguay,1039238.0,7634.0,3422796.0,303622.53549437365,2230.3403416388237,0.7345766802214699
Uzbekistan,174123.0,1016.0,34627648.0,5028.438547140135,29.34071641250367,0.583495574967121
Vanuatu,12019.0,14.0,326744.0,36784.149058590214,42.846999485836,0.11648223645894001
Vatican,26.0,0.0,808.0,32178.21782178218,0.0,0.0
Venezuela,552695.0,5856.0,28301700.0,19528.68555599134,206.91336562821314,1.0595355485394296
Vietnam,11623987.0,43206.0,98186856.0,118386.38564819715,440.0385322450899,0.37169690571746167
Wallis and Futuna,3550.0,8.0,11596.0,306140.0482925147,689.8930665746809,0.22535211267605634
Yemen,11945.0,2159.0,33696612.0,354.48667658339065,64.0717232937246,18.07450816241105
Zambia,349287.0,4069.0,20017670.0,17448.933866928568,203.27041059224177,1.164944587116039
Zimbabwe,265808.0,5718.0,16320539.0,16286.71700119708,350.3560758624455,2.1511767892614215
